cap-shape,cap-surface,cap-color,bruises%3F,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
'x','f','w','f','n','f','w','b','w','e',?,'k','k','w','w','p','w','t','p','w','s','g','e'
'k','s','n','f','s','f','c','n','b','t',?,'k','s','p','w','p','w','o','e','w','v','d','p'
'k','s','e','f','f','f','c','n','b','t',?,'k','k','w','p','p','w','o','e','w','v','d','p'
'k','y','e','f','y','f','c','n','b','t',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'k','s','e','f','f','f','c','n','b','t',?,'s','s','p','p','p','w','o','e','w','v','d','p'
'k','s','n','f','y','f','c','n','b','t',?,'k','s','p','p','p','w','o','e','w','v','p','p'
'k','y','n','f','f','f','c','n','b','t',?,'k','k','w','p','p','w','o','e','w','v','l','p'
'k','y','e','f','y','f','c','n','b','t',?,'s','s','w','w','p','w','o','e','w','v','p','p'
'k','s','n','f','y','f','c','n','b','t',?,'s','k','w','w','p','w','o','e','w','v','d','p'
'k','s','e','f','s','f','c','n','b','t',?,'s','k','w','w','p','w','o','e','w','v','d','p'
'f','s','n','f','n','a','c','b','o','e',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'f','s','n','f','s','f','c','n','b','t',?,'s','s','w','w','p','w','o','e','w','v','d','p'
'k','s','n','f','s','f','c','n','b','t',?,'k','k','p','w','p','w','o','e','w','v','l','p'
'x','s','g','f','n','f','w','b','g','e',?,'k','s','w','w','p','w','t','p','w','n','g','e'
'x','f','w','f','n','f','w','b','p','e',?,'s','s','w','w','p','w','t','p','w','n','g','e'
'k','y','n','f','s','f','c','n','b','t',?,'s','s','w','p','p','w','o','e','w','v','d','p'
'x','s','n','f','n','a','c','b','n','e',?,'s','s','o','o','p','n','o','p','o','c','l','e'
'k','y','n','f','s','f','c','n','b','t',?,'k','k','w','p','p','w','o','e','w','v','l','p'
'k','y','n','f','s','f','c','n','b','t',?,'s','s','p','w','p','w','o','e','w','v','l','p'
'k','y','n','f','s','f','c','n','b','t',?,'s','s','w','p','p','w','o','e','w','v','p','p'
