cap-shape,cap-surface,cap-color,bruises%3F,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
'x','f','y','f','f','f','c','b','h','e','b','k','k','p','b','p','w','o','l','h','y','g','p'
'f','s','g','t','f','f','c','b','h','t','b','f','s','w','w','p','w','o','p','h','v','g','p'
'f','y','y','f','f','f','c','b','g','e','b','k','k','b','b','p','w','o','l','h','v','p','p'
'x','y','e','t','n','f','c','b','e','e',?,'s','s','w','e','p','w','t','e','w','c','w','e'
'f','s','b','t','f','f','c','b','p','t','b','f','s','w','w','p','w','o','p','h','v','g','p'
'x','y','n','f','n','f','w','n','w','e','b','s','s','w','n','p','w','o','e','w','v','l','e'
'f','y','y','f','f','f','c','b','g','e','b','k','k','p','n','p','w','o','l','h','v','d','p'
'f','f','g','f','f','f','c','b','g','e','b','k','k','b','n','p','w','o','l','h','v','d','p'
'b','y','b','t','n','f','c','b','r','e','b','s','s','w','w','p','w','t','p','r','v','g','p'
'x','y','e','f','y','f','c','n','b','t',?,'k','s','w','p','p','w','o','e','w','v','p','p'
'f','y','y','f','f','f','c','b','p','e','b','k','k','b','n','p','w','o','l','h','y','p','p'
'f','f','y','f','f','f','c','b','g','e','b','k','k','n','p','p','w','o','l','h','v','p','p'
'f','y','w','t','n','f','c','b','g','e','b','s','s','w','w','p','w','t','p','r','v','g','p'
'k','s','e','t','n','f','c','b','e','e',?,'s','s','w','e','p','w','t','e','w','c','w','e'
'f','y','y','f','f','f','c','b','g','e','b','k','k','n','n','p','w','o','l','h','v','p','p'
'k','s','n','t','n','f','c','b','e','e',?,'s','s','w','e','p','w','t','e','w','c','w','e'
'f','y','y','f','n','f','c','n','w','e',?,'k','y','w','n','p','w','o','e','w','v','d','p'
'f','y','g','f','f','f','c','b','g','e','b','k','k','p','n','p','w','o','l','h','y','p','p'
'f','y','y','f','f','f','c','b','g','e','b','k','k','p','b','p','w','o','l','h','v','g','p'
'x','y','e','f','y','f','c','n','b','t',?,'k','s','p','w','p','w','o','e','w','v','p','p'
'f','s','b','t','n','f','c','b','w','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'f','s','w','t','f','f','c','b','w','t','b','f','s','w','w','p','w','o','p','h','v','u','p'
'x','s','w','t','f','f','c','b','w','t','b','f','f','w','w','p','w','o','p','h','s','g','p'
'f','y','g','f','f','f','c','b','h','e','b','k','k','p','p','p','w','o','l','h','y','d','p'
'f','y','p','t','n','f','c','b','w','e',?,'s','s','e','w','p','w','t','e','w','c','w','e'
'f','y','y','f','f','f','c','b','p','e','b','k','k','n','n','p','w','o','l','h','y','g','p'
'f','y','y','f','f','f','c','b','p','e','b','k','k','n','n','p','w','o','l','h','y','p','p'
'k','s','e','t','n','f','c','b','w','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'x','y','n','t','n','f','c','b','e','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'x','y','y','f','f','f','c','b','h','e','b','k','k','p','n','p','w','o','l','h','v','g','p'
'f','s','b','t','f','f','c','b','p','t','b','s','f','w','w','p','w','o','p','h','v','g','p'
'x','y','g','f','f','f','c','b','g','e','b','k','k','p','p','p','w','o','l','h','v','d','p'
'f','s','g','t','f','f','c','b','w','t','b','f','f','w','w','p','w','o','p','h','s','u','p'
'x','s','w','t','f','f','c','b','p','t','b','f','s','w','w','p','w','o','p','h','v','g','p'
'x','f','n','f','n','f','c','n','w','e',?,'k','y','w','y','p','w','o','e','w','v','d','p'
'f','s','b','t','f','f','c','b','h','t','b','s','f','w','w','p','w','o','p','h','s','g','p'
'f','y','e','t','n','f','c','b','e','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'f','y','y','f','f','f','c','b','g','e','b','k','k','p','n','p','w','o','l','h','y','g','p'
'x','s','b','t','f','f','c','b','p','t','b','s','f','w','w','p','w','o','p','h','s','u','p'
'k','f','n','f','n','f','w','n','w','e','b','f','s','w','n','p','w','o','e','w','v','l','e'
'f','y','y','f','f','f','c','b','p','e','b','k','k','b','b','p','w','o','l','h','y','g','p'
'k','y','c','f','n','f','w','n','w','e','b','f','f','w','n','p','w','o','e','w','v','l','e'
'x','f','g','f','f','f','c','b','p','e','b','k','k','p','p','p','w','o','l','h','y','p','p'
'x','y','n','f','y','f','c','n','b','t',?,'k','k','w','w','p','w','o','e','w','v','p','p'
'f','y','p','t','n','f','c','b','w','e',?,'s','s','w','w','p','w','t','e','w','c','w','e'
'x','s','b','t','f','f','c','b','h','t','b','f','f','w','w','p','w','o','p','h','v','g','p'
'x','y','g','f','f','f','c','b','h','e','b','k','k','b','n','p','w','o','l','h','y','d','p'
'f','y','y','f','f','f','c','b','p','e','b','k','k','p','b','p','w','o','l','h','y','g','p'
'x','y','e','f','y','f','c','n','b','t',?,'s','k','p','p','p','w','o','e','w','v','d','p'
'f','y','r','f','n','f','c','n','w','e',?,'s','f','w','w','p','w','o','f','h','y','d','e'
'f','y','y','f','f','f','c','b','p','e','b','k','k','n','b','p','w','o','l','h','y','p','p'
'x','s','g','t','f','f','c','b','h','t','b','f','f','w','w','p','w','o','p','h','v','g','p'
'x','s','w','t','f','f','c','b','w','t','b','f','f','w','w','p','w','o','p','h','v','g','p'
'f','s','b','t','f','f','c','b','w','t','b','f','s','w','w','p','w','o','p','h','s','g','p'
'x','y','n','t','n','f','c','b','w','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'f','f','y','f','n','f','c','n','w','e',?,'k','y','w','n','p','w','o','e','w','v','d','p'
'f','y','u','f','n','f','c','n','w','e',?,'s','f','w','w','p','w','o','f','h','v','d','e'
'x','y','n','f','y','f','c','n','b','t',?,'s','s','p','p','p','w','o','e','w','v','l','p'
'x','s','n','t','n','f','c','b','w','e',?,'s','s','w','w','p','w','t','e','w','c','w','e'
'x','s','w','t','f','f','c','b','w','t','b','f','s','w','w','p','w','o','p','h','v','u','p'
'f','y','y','f','f','f','c','b','p','e','b','k','k','p','b','p','w','o','l','h','v','d','p'
'f','s','b','t','n','f','c','b','e','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'k','f','c','f','n','f','w','n','w','e','b','s','s','w','n','p','w','o','e','w','v','l','e'
'x','s','g','t','f','f','c','b','p','t','b','s','f','w','w','p','w','o','p','h','v','u','p'
'f','y','g','f','f','f','c','b','h','e','b','k','k','p','n','p','w','o','l','h','v','p','p'
'x','y','e','f','y','f','c','n','b','t',?,'s','k','p','w','p','w','o','e','w','v','l','p'
'f','y','p','t','n','f','c','b','e','e',?,'s','s','e','w','p','w','t','e','w','c','w','e'
'k','y','p','t','n','f','c','b','w','e',?,'s','s','w','w','p','w','t','e','w','c','w','e'
'x','y','y','f','f','f','c','b','h','e','b','k','k','p','b','p','w','o','l','h','v','g','p'
'x','y','n','f','y','f','c','n','b','t',?,'k','k','w','w','p','w','o','e','w','v','d','p'
'f','s','n','t','n','f','c','b','e','e',?,'s','s','e','w','p','w','t','e','w','c','w','e'
'f','y','y','f','f','f','c','b','h','e','b','k','k','p','p','p','w','o','l','h','y','g','p'
'x','y','n','f','s','f','c','n','b','t',?,'s','s','p','p','p','w','o','e','w','v','d','p'
'f','s','n','t','n','f','c','b','w','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'f','y','y','f','f','f','c','b','p','e','b','k','k','p','p','p','w','o','l','h','v','d','p'
'f','y','y','f','f','f','c','b','p','e','b','k','k','n','p','p','w','o','l','h','v','p','p'
'f','y','y','f','f','f','c','b','g','e','b','k','k','b','n','p','w','o','l','h','y','p','p'
'f','f','c','f','n','f','w','n','w','e','b','f','s','w','n','p','w','o','e','w','v','l','e'
'b','y','b','t','n','f','c','b','w','e','b','s','s','w','w','p','w','t','p','r','v','g','p'
'k','y','e','t','n','f','c','b','w','e',?,'s','s','e','w','p','w','t','e','w','c','w','e'
'x','s','b','t','f','f','c','b','w','t','b','f','f','w','w','p','w','o','p','h','v','u','p'
'x','s','g','t','f','f','c','b','w','t','b','s','s','w','w','p','w','o','p','h','v','g','p'
'f','y','y','f','f','f','c','b','p','e','b','k','k','b','n','p','w','o','l','h','v','g','p'
'x','s','g','t','f','f','c','b','p','t','b','s','s','w','w','p','w','o','p','h','s','u','p'
'x','y','e','f','y','f','c','n','b','t',?,'s','k','p','w','p','w','o','e','w','v','p','p'
'f','s','w','t','f','f','c','b','p','t','b','f','f','w','w','p','w','o','p','h','v','u','p'
'f','s','p','t','n','f','c','b','w','e',?,'s','s','w','w','p','w','t','e','w','c','w','e'
'f','s','b','t','f','f','c','b','h','t','b','s','s','w','w','p','w','o','p','h','v','g','p'
'x','y','e','f','y','f','c','n','b','t',?,'k','k','w','p','p','w','o','e','w','v','p','p'
'f','y','w','f','n','f','c','n','u','e',?,'s','f','w','w','p','w','o','f','h','v','d','e'
'x','y','p','t','n','f','c','b','w','e',?,'s','s','w','e','p','w','t','e','w','c','w','e'
'x','s','b','t','f','f','c','b','p','t','b','s','s','w','w','p','w','o','p','h','v','u','p'
'k','g','w','t','n','f','w','n','w','e','b','s','s','w','w','p','w','o','p','w','c','l','p'
'f','s','g','t','f','f','c','b','p','t','b','s','s','w','w','p','w','o','p','h','s','g','p'
'x','y','n','f','s','f','c','n','b','t',?,'s','s','p','w','p','w','o','e','w','v','p','p'
'k','s','e','t','n','f','c','b','w','e',?,'s','s','w','w','p','w','t','e','w','c','w','e'
'x','y','n','f','y','f','c','n','b','t',?,'k','s','p','w','p','w','o','e','w','v','d','p'
'x','y','n','f','s','f','c','n','b','t',?,'s','s','w','w','p','w','o','e','w','v','p','p'
'f','s','w','t','f','f','c','b','h','t','b','f','f','w','w','p','w','o','p','h','s','g','p'
'f','s','e','t','n','f','c','b','e','e',?,'s','s','w','e','p','w','t','e','w','c','w','e'
'f','s','b','t','f','f','c','b','p','t','b','s','s','w','w','p','w','o','p','h','s','g','p'
'b','s','w','t','n','f','c','b','r','e','b','s','s','w','w','p','w','t','p','r','v','m','p'
'f','f','n','f','n','f','w','n','w','e','b','f','s','w','n','p','w','o','e','w','v','l','e'
'f','s','g','t','f','f','c','b','p','t','b','s','s','w','w','p','w','o','p','h','v','u','p'
'x','s','w','t','f','f','c','b','h','t','b','s','s','w','w','p','w','o','p','h','v','g','p'
'f','y','y','f','f','f','c','b','p','e','b','k','k','p','n','p','w','o','l','h','v','g','p'
'x','s','b','t','n','f','c','b','e','e',?,'s','s','e','w','p','w','t','e','w','c','w','e'
'f','y','n','t','n','f','c','b','w','e',?,'s','s','e','w','p','w','t','e','w','c','w','e'
'x','y','r','f','n','f','c','n','u','e',?,'s','f','w','w','p','w','o','f','h','v','d','e'
'k','s','b','t','n','f','c','b','e','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'x','s','w','t','f','f','c','b','h','t','b','s','f','w','w','p','w','o','p','h','v','u','p'
'x','y','n','f','y','f','c','n','b','t',?,'s','k','p','w','p','w','o','e','w','v','d','p'
'x','y','b','t','n','f','c','b','w','e',?,'s','s','e','e','p','w','t','e','w','c','w','e'
'f','y','w','t','n','f','c','b','w','e','b','s','s','w','w','p','w','t','p','r','v','g','p'
